in_direction,out_direction,in_velocity (km/h),out_velocity (km/h),time (s)
u,u,0,10,-
u,d,0,10,-
u,f,0,10,-
u,b,0,10,-
u,l,0,10,-
u,r,0,10,-
d,u,0,10,4
d,d,0,10,-
d,f,0,10,4.45
d,b,0,10,4.45
d,l,0,10,4.45
d,r,0,10,4.45
f,u,0,10,-
f,d,0,10,-
f,f,0,10,-
f,b,0,10,-
f,l,0,10,-
f,r,0,10,-
b,u,0,10,-
b,d,0,10,-
b,f,0,10,-
b,b,0,10,-
b,l,0,10,-
b,r,0,10,-
l,u,0,10,-
l,d,0,10,-
l,f,0,10,-
l,b,0,10,-
l,l,0,10,-
l,r,0,10,-
r,u,0,10,-
r,d,0,10,-
r,f,0,10,-
r,b,0,10,-
r,l,0,10,-
r,r,0,10,-
u,u,10,0,-
u,d,10,0,6.2
u,f,10,0,-
u,b,10,0,-
u,l,10,0,-
u,r,10,0,-
d,u,10,0,-
d,d,10,0,-
d,f,10,0,-
d,b,10,0,-
d,l,10,0,-
d,r,10,0,-
f,u,10,0,-
f,d,10,0,3.5
f,f,10,0,-
f,b,10,0,-
f,l,10,0,-
f,r,10,0,-
b,u,10,0,-
b,d,10,0,3.5
b,f,10,0,-
b,b,10,0,-
b,l,10,0,-
b,r,10,0,-
l,u,10,0,-
l,d,10,0,3.5
l,f,10,0,-
l,b,10,0,-
l,l,10,0,-
l,r,10,0,-
r,u,10,0,-
r,d,10,0,3.5
r,f,10,0,-
r,b,10,0,-
r,l,10,0,-
r,r,10,0,-
u,u,10,10,-
u,d,10,10,3.65
u,f,10,10,3.6
u,b,10,10,3.6
u,l,10,10,3.6
u,r,10,10,3.6
d,u,10,10,3.7
d,d,10,10,-
d,f,10,10,3.75
d,b,10,10,3.75
d,l,10,10,3.75
d,r,10,10,3.75
f,u,10,10,3
f,d,10,10,2.75
f,f,10,10,-
f,b,10,10,3.5
f,l,10,10,3.6
f,r,10,10,3.6
b,u,10,10,3
b,d,10,10,2.75
b,f,10,10,3.5
b,b,10,10,-
b,l,10,10,3.6
b,r,10,10,3.6
l,u,10,10,3
l,d,10,10,2.75
l,f,10,10,3.6
l,b,10,10,3.6
l,l,10,10,-
l,r,10,10,3.5
r,u,10,10,3
r,d,10,10,2.75
r,f,10,10,3.6
r,b,10,10,3.6
r,l,10,10,3.5
r,r,10,10,-
u,u,10,20,-
u,d,10,20,-
u,f,10,20,2.95
u,b,10,20,2.95
u,l,10,20,2.95
u,r,10,20,2.95
d,u,10,20,2.35
d,d,10,20,-
d,f,10,20,3.25
d,b,10,20,3.25
d,l,10,20,3.25
d,r,10,20,3.25
f,u,10,20,2.65
f,d,10,20,-
f,f,10,20,-
f,b,10,20,2.15
f,l,10,20,2.9
f,r,10,20,2.9
b,u,10,20,2.65
b,d,10,20,-
b,f,10,20,2.15
b,b,10,20,-
b,l,10,20,2.9
b,r,10,20,2.9
l,u,10,20,2.65
l,d,10,20,-
l,f,10,20,2.9
l,b,10,20,2.9
l,l,10,20,-
l,r,10,20,2.15
r,u,10,20,2.65
r,d,10,20,-
r,f,10,20,2.9
r,b,10,20,2.9
r,l,10,20,2.15
r,r,10,20,-
u,u,10,30,-
u,d,10,30,-
u,f,10,30,2.9
u,b,10,30,2.9
u,l,10,30,2.9
u,r,10,30,2.9
d,u,10,30,2.2
d,d,10,30,-
d,f,10,30,3
d,b,10,30,3
d,l,10,30,3
d,r,10,30,3
f,u,10,30,2.7
f,d,10,30,-
f,f,10,30,-
f,b,10,30,1.8
f,l,10,30,3.05
f,r,10,30,3.05
b,u,10,30,2.7
b,d,10,30,-
b,f,10,30,1.8
b,b,10,30,-
b,l,10,30,3.05
b,r,10,30,3.05
l,u,10,30,2.7
l,d,10,30,-
l,f,10,30,3.05
l,b,10,30,3.05
l,l,10,30,-
l,r,10,30,1.8
r,u,10,30,2.7
r,d,10,30,-
r,f,10,30,3.05
r,b,10,30,3.05
r,l,10,30,1.8
r,r,10,30,-
u,u,20,10,-
u,d,20,10,-
u,f,20,10,-
u,b,20,10,-
u,l,20,10,-
u,r,20,10,-
d,u,20,10,2.55
d,d,20,10,-
d,f,20,10,3.1
d,b,20,10,3.1
d,l,20,10,3.1
d,r,20,10,3.1
f,u,20,10,3.8
f,d,20,10,2.1
f,f,20,10,-
f,b,20,10,2.95
f,l,20,10,3.3
f,r,20,10,3.3
b,u,20,10,3.8
b,d,20,10,2.1
b,f,20,10,2.95
b,b,20,10,-
b,l,20,10,3.3
b,r,20,10,3.3
l,u,20,10,3.8
l,d,20,10,2.1
l,f,20,10,3.3
l,b,20,10,3.3
l,l,20,10,-
l,r,20,10,2.95
r,u,20,10,3.8
r,d,20,10,2.1
r,f,20,10,3.3
r,b,20,10,3.3
r,l,20,10,2.95
r,r,20,10,-
u,u,20,20,-
u,d,20,20,-
u,f,20,20,-
u,b,20,20,-
u,l,20,20,-
u,r,20,20,-
d,u,20,20,1.8
d,d,20,20,-
d,f,20,20,3.05
d,b,20,20,3.05
d,l,20,20,3.05
d,r,20,20,3.05
f,u,20,20,1.85
f,d,20,20,-
f,f,20,20,-
f,b,20,20,1.75
f,l,20,20,2.6
f,r,20,20,2.6
b,u,20,20,1.85
b,d,20,20,-
b,f,20,20,1.75
b,b,20,20,-
b,l,20,20,2.6
b,r,20,20,2.6
l,u,20,20,1.85
l,d,20,20,-
l,f,20,20,2.6
l,b,20,20,2.6
l,l,20,20,-
